episode,score,score_avg100,time_steps,time_ep,time_total
337,0.0,0.02250000035390258,17,1.6199707984924316,82.98589992523193
338,0.0,0.02250000035390258,14,1.4863560199737549,84.47335696220398
339,0.09000000171363354,0.023400000371038912,31,3.118133544921875,87.592280626297
340,0.10000000149011612,0.024400000385940077,30,3.0897469520568848,90.6830108165741
341,0.10000000149011612,0.025400000400841238,30,3.0387632846832275,93.72258710861206
342,0.10000000149011612,0.0264000004157424,30,3.0367188453674316,96.7601089477539
343,0.0,0.0264000004157424,14,1.4708685874938965,98.2318160533905
344,0.0,0.024400000385940077,14,1.2814409732818604,99.5141236782074
345,0.0,0.023400000371038912,14,1.4213037490844727,100.93629860877991
346,0.20000000298023224,0.025400000400841238,69,6.984215974807739,107.92133069038391
347,0.10000000149011612,0.025400000400841238,30,3.0739874839782715,110.9959819316864
348,0.10000000149011612,0.025500000398606063,49,5.060544729232788,116.0572817325592
349,0.10000000149011612,0.026500000413507224,30,3.099675416946411,119.1577045917511
350,0.30000000447034836,0.029500000458210707,109,11.021766185760498,130.18037343025208
351,0.20000000298023224,0.031500000488013026,90,8.993293523788452,139.17462873458862
352,0.7000000104308128,0.03850000059232116,278,28.169448375701904,167.344797372818
353,0.10000000149011612,0.03950000060722232,30,3.0454256534576416,170.39094758033752
354,0.0,0.03950000060722232,14,1.4124350547790527,171.80424976348877
355,0.0,0.03950000060722232,15,1.456801414489746,173.2618441581726
356,0.0,0.03950000060722232,13,1.2333307266235352,174.49583649635315
357,0.5000000074505806,0.04450000068172812,193,19.569480657577515,194.0660538673401
358,0.09000000171363354,0.04540000069886446,30,3.0897417068481445,197.15638995170593
359,1.3000000193715096,0.05840000089257955,519,51.880022287368774,249.0370659828186
360,0.10000000149011612,0.05840000089257955,30,2.9812207221984863,252.01930952072144
361,0.0,0.057400000877678395,15,1.4190428256988525,253.43926119804382
362,0.10000000149011612,0.05840000089257955,31,3.0694282054901123,256.509516954422
363,0.20000000298023224,0.060400000922381875,69,7.009054183959961,263.5195622444153
364,0.10000000149011612,0.06140000093728304,31,3.0973362922668457,266.61779737472534
365,0.0,0.06140000093728304,17,1.6224615573883057,268.24101161956787
366,0.10000000149011612,0.06140000093728304,32,3.2708184719085693,271.5127537250519
367,0.10000000149011612,0.062400000952184204,31,3.0716352462768555,274.5852291584015
368,0.20000000298023224,0.06440000098198652,97,9.964378833770752,284.55065155029297
369,0.10000000149011612,0.06540000099688768,30,3.1887545585632324,287.74039125442505
370,0.0,0.06540000099688768,14,1.4898059368133545,289.2309989929199
371,0.0,0.06540000099688768,14,1.4848589897155762,290.7165381908417
372,0.10000000149011612,0.06550000099465252,32,3.4032983779907227,294.1205999851227
373,0.10000000149011612,0.06650000100955367,31,3.1575770378112793,297.27890253067017
374,0.10000000149011612,0.06750000102445483,31,3.1466264724731445,300.42644786834717
375,0.0,0.06750000102445483,16,1.6704506874084473,302.09794449806213
376,0.0,0.06750000102445483,20,2.1325907707214355,304.2314577102661
377,0.20000000298023224,0.06860000103712081,90,9.44777226448059,313.6801211833954
378,0.0,0.06760000102221966,14,1.4721662998199463,315.15330719947815
379,0.20000000298023224,0.06960000105202198,105,10.8669273853302,326.0213408470154
380,0.10000000149011612,0.07060000106692314,30,3.163156032562256,329.18545627593994
381,0.10000000149011612,0.07160000108182431,52,5.394465684890747,334.58055686950684
382,0.20000000298023224,0.07360000111162662,91,9.482524633407593,344.06394386291504
383,0.10000000149011612,0.07360000111162662,44,4.76653528213501,348.8313148021698
384,0.0,0.07360000111162662,19,1.8925433158874512,350.72478008270264
385,0.10000000149011612,0.07460000112652779,24,2.4775805473327637,353.20363759994507
386,0.4000000059604645,0.07760000117123127,166,16.22314715385437,369.42765259742737
387,0.30000000447034836,0.0796000012010336,125,11.742169857025146,381.1704559326172
388,0.0,0.0796000012010336,14,1.463078498840332,382.6343514919281
389,0.09000000171363354,0.08050000121816993,31,2.929229259490967,385.56445384025574
390,0.0,0.07950000120326876,15,1.3511204719543457,386.916307926178
